Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Full Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,scraped
https://www.jstor.org/stable/116870,"The Home Market, Trade, and Industrial Structure","Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"Does national market size matter for industrial structure? This has been suggested by theoretical work on ""home market"" effects. In the present paper, I show that what previously was regarded as an assumption of convenience--transport costs only for the differentiated goods--matters a great deal. In a focal case in which differentiated and homogeneous goods have identical transport costs, the home market effect disappears. This paper discusses available evidence on the relative trade costs for differentiated and homogeneous goods. No compelling argument is found that market size will matter for industrial structure.",Donald R. Davis,Donald R. Davis,,,,,,,,1
https://www.jstor.org/stable/116871,Industrial Development and the Convergence Question,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"This paper studies endogenous world balanced-growth equilibria in which national learning productivity differentials govern relative per capita products. Learning productivities depend on the national share of world specialized-goods production, national and world scale, and familiarity with the foreign economy. Familiarity indexes the extent to which imported specialized goods enhance learning productivity. We find that mutual familiarization causes per capita products to converge. Unfamiliar economies diverge substantially and persistently. Unilateral familiarization of a less-developed country (LDC) with the leading economy causes the LDC to catch up to, and even overtake, the leader.",Marvin Goodfriend and John McDermott,Marvin Goodfriend,John McDermott,,,,,,,1
https://www.jstor.org/stable/116872,Endogenous Growth without Scale Effects,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,"This paper presents a simple R&D-driven endogenous growth model to shed light on some puzzling economic trends. The model can account for why patent statistics have been roughly constant even though R&D employment has risen sharply over the last 30 years. The model also illuminates why steadily increasing R&D effort has not led to any upward trend in economic growth rates, as is predicted by earlier R&D-driven endogenous growth models with the ""scale effect"" property.",Paul S. Segerstrom,Paul S. Segerstrom,,,,,,,,1
https://www.jstor.org/stable/116873,The Matching Market Institution: A Laboratory Investigation,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Changhua Sun Rich and Daniel Friedman,Changhua Sun Rich,Daniel Friedman,,,,,,,1
https://www.jstor.org/stable/116874,Experimental Evidence on the Evolution of Meaning of Messages in Sender-Receiver Games,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,"Andreas Blume, Douglas V. DeJong, Yong-Gwan Kim and Geoffrey B. Sprinkle",Andreas Blume,Douglas V. DeJong,Yong-Gwan Kim,Geoffrey B. Sprinkle,,,,,1
https://www.jstor.org/stable/116875,Why Referees Are Not Paid (Enough),"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Maxim Engers and Joshua S. Gans,Maxim Engers,Joshua S. Gans,,,,,,,1
https://www.jstor.org/stable/116876,The Deadweight Loss of Christmas: Comment,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,John A. List and Jason F. Shogren,John A. List,Jason F. Shogren,,,,,,,1
https://www.jstor.org/stable/116877,The Deadweight Loss of Christmas: Reply,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Sara J. Solnick and David Hemenway,Sara J. Solnick,David Hemenway,,,,,,,1
https://www.jstor.org/stable/116878,The Deadweight Loss of Christmas: Reply,"Vol. 88, No. 5, Dec., 1998",Vol. 88,No. 5,Dec.,1998,,Joel Waldfogel,Joel Waldfogel,,,,,,,,1
https://www.jstor.org/stable/117000,The Market for Sulfur Dioxide Emissions,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"The 1990 Clean Air Act Amendments initiated the first large-scale use of the tradable permit approach to pollution control. The theoretical case for this approach rests on the assumption of an efficient market for emission rights. Our empirical analysis shows that the emission rights market created by the 1990 Amendments had become reasonably efficient by mid-1994. We also show that the auctions specified in the Amendments to jump-start trading had become a small part of the overall market. Finally, we demonstrate that the strategic bidding behavior discussed in the literature has had no effect on market prices.","Paul L. Joskow, Richard Schmalensee and Elizabeth M. Bailey",Paul L. Joskow,Richard Schmalensee,Elizabeth M. Bailey,,,,,,1
https://www.jstor.org/stable/117001,Valuing the Impact of Large-Scale Ecological Change in a Market: The Effect of Climate Change on U.S. Timber,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"This paper establishes a methodology for valuing the impact of large-scale ecological changes in a market. Given the large capital stocks inherent in most ecological systems, the dynamic nature of most ecological change, and the dynamic response of markets, it is critical to build dynamic models to capture the resulting effects. This paper demonstrates how to construct such a model using the impacts of climate change on U.S. timber markets as an example. Across a wide range of scenarios and models, warming is predicted to expand timber supplies and thus benefit U.S. timber markets.",Brent Sohngen and Robert Mendelsohn,Brent Sohngen,Robert Mendelsohn,,,,,,,1
https://www.jstor.org/stable/117002,"Layoffs, Top Executive Pay, and Firm Performance","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"This paper examines the connection between layoffs, executive pay, and stock prices. Firms that announce layoffs in the previous year pay their CEOs more, and give their CEOs larger percentage raises than firms which do not have at least one layoff announcement in the previous year. However, the likelihood of announcing a layoff varies dramatically along other dimensions, for example firm size, which are also correlated with CEO pay. Once firm-specific fixed effects are controlled for, the CEO pay premium for laying off workers disappears. In addition, there is a small negative share price reaction to layoff announcements.",Kevin F. Hallock,Kevin F. Hallock,,,,,,,,1
https://www.jstor.org/stable/117003,Multidimensional Uncertainty and Herd Behavior in Financial Markets,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"We study the relationship between asset prices and herd behavior, which occurs when traders follow the trend in past trades. When traders have private information on only a single dimension of uncertainty (the effect of a shock to the asset value), price adjustments prevent herd behavior. Herding arises when there are two dimensions of uncertainty (the existence and effect of a shock), but it need not distort prices because the market discounts the informativeness of trades during herding. With a third dimension of uncertainty (the quality of traders' information), herd behavior can lead to a significant, short-run mispricing.",Christopher Avery and Peter Zemsky,Christopher Avery,Peter Zemsky,,,,,,,1
https://www.jstor.org/stable/117004,The Effect of Tax-Favored Retirement Accounts on Capital Accumulation,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,In this paper we develop an applied general equilibrium model to examine the effects of tax-favored retirement accounts on the capital stock. The results from our benchmark model indicate that a modest IRA contribution limit similar to that in effect during the early 1980's raises the steady-state capital stock by 6.18 percent; approximately 9 percent of IRA contributions constitutes incremental saving. Our results lend support to recent suggestions that retirement accounts with favorable tax treatment only for contributions above some base amount might provide more stimulus to saving than conventional IRAs.,"Ayşe İmrohoroğlu, Selahattin İmrohoroğlu and Douglas H. Joines",Ayşe İmrohoroğlu,Selahattin İmrohoroğlu,Douglas H. Joines,,,,,,1
https://www.jstor.org/stable/117005,Is There a Retirement-Savings Puzzle?,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"This paper addresses whether households save enough for their retirement. For successive date-of-birth cohorts we analyze income and expenditure patterns around the time of retirement. We find a fall in consumption as household heads retire which cannot be fully explained by a forward-looking consumption-smoothing model that accounts for expected demographic changes and mortality risk. Controlling for labor-market participation explains part, but not all, of this dip. We argue that the only way to reconcile fully the fall in consumption with the life-cycle hypothesis is with the systematic arrival of unexpected adverse information.","James Banks, Richard Blundell and Sarah Tanner",James Banks,Richard Blundell,Sarah Tanner,,,,,,1
https://www.jstor.org/stable/117006,Education-Finance Reform and the Distribution of Education Resources,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"Between 1971 and 1996 opponents of local funding for public schools successfully challenged the constitutionality of school-finance systems in 16 states. Using the variation across states in the timing of these cases we investigate the impact of reform on the distribution of school resources. Our results suggest that court-ordered finance reform reduced within-state inequality in spending by 19 to 34 percent. Successful litigation reduced inequality by raising spending in the poorest districts while leaving spending in the richest districts unchanged, thereby increasing aggregate spending on education. Reform led states to fund additional spending through higher state taxes.","Sheila E. Murray, William N. Evans and Robert M. Schwab",Sheila E. Murray,William N. Evans,Robert M. Schwab,,,,,,1
https://www.jstor.org/stable/117007,Public Education and Income Distribution: A Dynamic Quantitative Evaluation of Education-Finance Reform,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"Many states are implementing school-finance reforms which will have complex effects on income distribution, intergenerational income mobility, and welfare. This paper analyzes the static and dynamic effects of such reforms by constructing a dynamic general equilibrium model of public-education provision and calibrating it using U.S. data. We examine the consequences of a reform of a locally financed system to a state-financed system which equalizes expenditures per student across districts. We find that this policy increases both average income and the share of income spent on education. Steady-state welfare increases by 3.2 percent of steady-state income.",Raquel Fernández and Richard Rogerson,Raquel Fernández,Richard Rogerson,,,,,,,1
https://www.jstor.org/stable/117008,Games with Procedurally Rational Players,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"We study interactive situations in which players are boundedly rational. Each player, rather than optimizing given a belief about the other players' behavior, as in the theory of Nash equilibrium, uses the following choice procedure. She first associates one consequence with each of her actions by sampling (literally or virtually) each of her actions once. Then she chooses the action that has the best consequence. We define a notion of equilibrium for such situations and study its properties.",Martin J. Osborne and Ariel Rubinstein,Martin J. Osborne,Ariel Rubinstein,,,,,,,1
https://www.jstor.org/stable/117009,"Predicting How People Play Games: Reinforcement Learning in Experimental Games with Unique, Mixed Strategy Equilibria","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"We examine learning in all experiments we could locate involving 100 periods or more of games with a unique equilibrium in mixed strategies, and in a new experiment. We study both the ex post (""best fit"") descriptive power of learning models, and their ex ante predictive power, by simulating each experiment using parameters estimated from the other experiments. Even a one-parameter reinforcement learning model robustly outperforms the equilibrium predictions. Predictive power is improved by adding ""forgetting"" and ""experimentation,"" or by allowing greater rationality as in probabilistic fictitious play. Implications for developing a low-rationality, cognitive game theory are discussed.",Ido Erev and Alvin E. Roth,Ido Erev,Alvin E. Roth,,,,,,,1
https://www.jstor.org/stable/117010,"Noncooperative Bargaining, Hostages, and Optimal Asset Ownership","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"This paper reexamines the effect of asset ownership on investment decisions for a joint relationship in the absence of contracts on investment levels. It obtains some results which contradict findings by Grossman, Hart, and Moore. In particular, it finds that the loss of ownership of an asset may increase the asset loser's investment incentive. The difference between this paper and those authors' papers stems from the different interpretations of the roles of the threat point and outside options in bargaining. This paper also clarifies the role of relationship-specific investments as a cause of integration.",Y. Stephen Chiu,Y. Stephen Chiu,,,,,,,,1
https://www.jstor.org/stable/117011,Incomplete Contracts and Strategic Ambiguity,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,"Why are observed contracts so often incomplete in the sense that they leave contracting parties' obligations vague or unspecified? Traditional answers to this question invoke transaction costs or bounded rationality. In contrast, we argue that such incompleteness is often an essential feature of a well-designed contract. Specifically, once some aspects of performance are unverifiable, it is often optimal to leave other verifiable aspects of performance unspecified. We explore the conditions under which this occurs, and investigate the structure of optimal contracts when these conditions are satisfied.",B. Douglas Bernheim and Michael D. Whinston,B. Douglas Bernheim,Michael D. Whinston,,,,,,,1
https://www.jstor.org/stable/117012,Monty Hall's Three Doors: Construction and Deconstruction of a Choice Anomaly,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Daniel Friedman,Daniel Friedman,,,,,,,,1
https://www.jstor.org/stable/117013,"Iterated Dominance and Iterated Best Response in Experimental ""p-Beauty Contests""","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,"Teck-Hua Ho, Colin Camerer and Keith Weigelt",Teck-Hua Ho,Colin Camerer,Keith Weigelt,,,,,,1
https://www.jstor.org/stable/117014,Do the Rich Get Richer and the Poor Poorer? Experimental Tests of a Model of Power,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,"Yvonne Durham, Jack Hirshleifer and Vernon L. Smith",Yvonne Durham,Jack Hirshleifer,Vernon L. Smith,,,,,,1
https://www.jstor.org/stable/117015,Gains from Trade and Strategic Interaction: Equilibrium Acid Rain Abatement in the Eastern United States and Canada,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Linda T. M. Bui,Linda T. M. Bui,,,,,,,,1
https://www.jstor.org/stable/117016,Voting for Protection: Does Direct Foreign Investment Influence Legislator Behavior?,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Bruce A. Blonigen and David N. Figlio,Bruce A. Blonigen,David N. Figlio,,,,,,,1
https://www.jstor.org/stable/117017,Changes in U.S. Tariffs: The Role of Import Prices and Commercial Policies,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Douglas A. Irwin,Douglas A. Irwin,,,,,,,,1
https://www.jstor.org/stable/117018,Ex Post Liability for Harm vs. Ex Ante Safety Regulation: Substitutes or Complements? Comment,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Christian Ewerhart and Patrick W. Schmitz,Christian Ewerhart,Patrick W. Schmitz,,,,,,,1
https://www.jstor.org/stable/116838,Applications of Option-Pricing Theory: Twenty-Five Years Later,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Robert C. Merton,Robert C. Merton,,,,,,,,1
https://www.jstor.org/stable/116839,Derivatives in a Dynamic Environment,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Myron S. Scholes,Myron S. Scholes,,,,,,,,1
https://www.jstor.org/stable/116840,Unraveling in Matching Markets,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"We use a two-period matching model with initial uncertainty about productivities of participants to analyze incentives for early contracting or unraveling. Unraveling provides insurance in the absence of complete markets, but causes inefficient assignments. Unraveling is more likely the smaller the applicant pool, the smaller the proportion of more-promising applicants, and the greater the heterogeneity in the pool. Banning early contracts hurts firms and benefits lesspromising applicants; the effects on more-promising applicants depend on how the gains from early contracts are shared. Ex post buyouts eliminate inefficient assignments, and more-promising applicants always unravel.",Hao Li and Sherwin Rosen,Hao Li,Sherwin Rosen,,,,,,,1
https://www.jstor.org/stable/116841,Motivation and Markets,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"Many workers receive pay based on subjectively assessed performance, yet the shirking model of efficiency wages excludes it. This paper incorporates such pay, with the following results. Performance pay is more efficient than efficiency wages when the costs of having a job vacant are low and qualified workers in short supply. More capital-intensive industries pay more than less capital-intensive industries, as observed in studies of interindustry wages differentials. Sustaining an efficient outcome requires a social convention similar to the notion of a fair wage. The model also makes predictions about the relationship between turnover, wages, growth, and unemployment.",W. Bentley MacLeod and James M. Malcomson,W. Bentley MacLeod,James M. Malcomson,,,,,,,1
https://www.jstor.org/stable/116842,The Economics of Child Labor,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"If child labor as a mass phenomenon occurs not because of parental selfishness but because of the parents' concern for the household's survival, the popular argument for banning child labor loses much of its force. However, this assumption about parental decision-making coupled with the assumption of substitutability in production between child and adult labor could result in multiple equilibria in the labor market, with one equilibrium where children work and another where adult wage is high and children do not work. The paper establishes this result and discusses its policy implications.",Kaushik Basu and Pham Hoang Van,Kaushik Basu,Pham Hoang Van,,,,,,,1
https://www.jstor.org/stable/116843,A Theory of Holdouts in Wage Bargaining,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"Holdouts (the continuation of negotiations beyond the contract expiry date) are the most common form of disputes in labor contract negotiations. We model holdouts as a delaying tactic employed by unions to obtain information about other bargaining outcomes in their industry. Novel implications of our model include a positive association between holdout duration and the number of bargaining pairs negotiating contracts simultaneously; bunching of holdout durations within these ""negotiating groups""; and fewer strikes among holdouts which end later in groups. Using a large panel of contract negotiations in Canadian manufacturing, we find considerable support for these predictions.",Wulong Gu and Peter Kuhn,Wulong Gu,Peter Kuhn,,,,,,,1
https://www.jstor.org/stable/116844,Children and Their Parents' Labor Supply: Evidence from Exogenous Variation in Family Size,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,Research on the labor-supply consequences of childbearing is complicated by the endogeneity of fertility. This study uses parental preferences for a mixed sibling-sex composition to construct instrumental variables (IV) estimates of the effect of childbearing on labor supply. IV estimates for women are significant but smaller than ordinary least-squares estimates. The IV are also smaller for more educated women and show no impact of family size on husbands' labor supply. A comparison of estimates using sibling-sex composition and twins instruments implies that the impact of a third child disappears when the child reaches age 13.,Joshua D. Angrist and William N. Evans,Joshua D. Angrist,William N. Evans,,,,,,,1
https://www.jstor.org/stable/116845,Does European Unemployment Prop up American Wages? National Labor Markets and Global Trade,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"I consider trade between a flexible-wage America and a rigid-wage Europe. In a benchmark case, a move from autarky to free trade doubles European unemployment. American wages rise to the European level. Entry of the unskilled ""South"" to world markets raises European unemployment. Europe's commitment to the high wage wholly insulates America from the shock. Immigration to America raises American income, but lowers European income dollar for dollar, while European unemployment rises. Absent South-North migration of the unskilled from 1970-1990, Europe could have maintained the same wage with from one-eighth to one-fourth less unemployment.",Donald R. Davis,Donald R. Davis,,,,,,,,1
https://www.jstor.org/stable/116846,Growth Cycles,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"We construct a rational expectations model in which the economy switches stochastically between periods of low and high growth. When agents expect growth to be slow, the returns on investment are low and little investment takes place. But if agents expect fast growth, investment is high, returns are high, and growth is rapid. This expectational indeterminacy is induced by monopolistic competition and complementarity between different types of capital goods. Neither externalities nor increasing returns to scale are required. The equilibrium with growth cycles is stable under the dynamics implied by a simple learning rule.","George W. Evans, Seppo Honkapohja and Paul Romer",George W. Evans,Seppo Honkapohja,Paul Romer,,,,,,1
https://www.jstor.org/stable/116847,Financial Intermediation and Regime Switching in Business Cycles,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"We study a one-sector growth model where capital investment is credit financed, and there is an adverse selection problem in credit markets. The presence of adverse selection creates an indeterminacy of equilibrium. Many equilibria display permanent fluctuations characterized by transitions between Walrasian regimes and regimes of credit rationing. Cyclical contractions involve declines in real interest rates, increases in credit rationing, and withdrawals of savings from banks. For some configurations of parameters all equilibria display cyclical fluctuations. We provide sufficient conditions for deterministic cycles consisting of m periods of expansion followed by n periods of contraction to exist.",Costas Azariadis and Bruce Smith,Costas Azariadis,Bruce Smith,,,,,,,1
https://www.jstor.org/stable/116848,"Stock Markets, Banks, and Economic Growth","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"Do well-functioning stock markets and banks promote long-run economic growth? This paper shows that stock market liquidity and banking development both positively predict growth, capital accumulation, and productivity improvements when entered together in regressions, even after controlling for economic and political factors. The results are consistent with the views that financial markets provide important services for growth, and that stock markets provide different services from banks. The paper also finds that stock market size, volatility, and international integration are not robustly linked with growth, and that none of the financial indicators is closely associated with private saving rates.",Ross Levine and Sara Zervos,Ross Levine,Sara Zervos,,,,,,,1
https://www.jstor.org/stable/116849,Financial Dependence and Growth,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"This paper examines whether financial development facilitates economic growth by scrutinizing one rationale for such a relationship: that financial development reduces the costs of external finance to firms. Specifically, we ask whether industrial sectors that are relatively more in need of external finance develop disproportionately faster in countries with more-developed financial markets. We find this to be true in a large sample of countries over the 1980's. We show this result is unlikely to be driven by omitted variables, outliers, or reverse causality.",Raghuram G. Rajan and Luigi Zingales,Raghuram G. Rajan,Luigi Zingales,,,,,,,1
https://www.jstor.org/stable/116850,Unique Equilibrium in a Model of Self-Fulfilling Currency Attacks,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,"Even though self-fulfilling currency attacks lead to multiple equilibria when fundamentals are common knowledge, we demonstrate the uniqueness of equilibrium when speculators face a small amount of noise in their signals about the fundamentals. This unique equilibrium depends not only on the fundamentals, but also on financial variables, such as the quantity of hot money in circulation and the costs of speculative trading. In contrast to multiple equilibrium models, our model allows analysis of policy proposals directed at curtailing currency attacks.",Stephen Morris and Hyun Song Shin,Stephen Morris,Hyun Song Shin,,,,,,,1
https://www.jstor.org/stable/116851,Compensating Differentials for Gender-Specific Job Injury Risks,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Joni Hersch,Joni Hersch,,,,,,,,1
https://www.jstor.org/stable/116852,Did Unilateral Divorce Raise Divorce Rates? Evidence from Panel Data,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Leora Friedberg,Leora Friedberg,,,,,,,,1
https://www.jstor.org/stable/116853,"Divorce-Law Changes, Household Bargaining, and Married Women's Labor Supply","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Jeffrey S. Gray,Jeffrey S. Gray,,,,,,,,1
https://www.jstor.org/stable/116854,Caps on Political Lobbying,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Yeon-Koo Che and Ian L. Gale,Yeon-Koo Che,Ian L. Gale,,,,,,,1
https://www.jstor.org/stable/116855,"Is There a Free-Rider Problem in Lobbying? Endogenous Tariffs, Trigger Strategies, and the Number of Firms","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Paul Pecorino,Paul Pecorino,,,,,,,,1
