,Unnamed: 0,Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,scraped
25,25,https://www.jstor.org/stable/117006,Education-Finance Reform and the Distribution of Education Resources,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Sheila E. Murray,William N. Evans,Robert M. Schwab,,,,,,0
26,26,https://www.jstor.org/stable/117007,Public Education and Income Distribution: A Dynamic Quantitative Evaluation of Education-Finance Reform,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Raquel Fernández,Richard Rogerson,,,,,,,0
27,27,https://www.jstor.org/stable/117008,Games with Procedurally Rational Players,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Martin J. Osborne,Ariel Rubinstein,,,,,,,0
28,28,https://www.jstor.org/stable/117009,"Predicting How People Play Games: Reinforcement Learning in Experimental Games with Unique, Mixed Strategy Equilibria","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Ido Erev,Alvin E. Roth,,,,,,,0
29,29,https://www.jstor.org/stable/117010,"Noncooperative Bargaining, Hostages, and Optimal Asset Ownership","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Y. Stephen Chiu,,,,,,,,0
30,30,https://www.jstor.org/stable/117011,Incomplete Contracts and Strategic Ambiguity,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,B. Douglas Bernheim,Michael D. Whinston,,,,,,,0
31,31,https://www.jstor.org/stable/117012,Monty Hall's Three Doors: Construction and Deconstruction of a Choice Anomaly,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Daniel Friedman,,,,,,,,0
32,32,https://www.jstor.org/stable/117013,"Iterated Dominance and Iterated Best Response in Experimental ""p-Beauty Contests""","Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Teck-Hua Ho,Colin Camerer,Keith Weigelt,,,,,,0
33,33,https://www.jstor.org/stable/117014,Do the Rich Get Richer and the Poor Poorer? Experimental Tests of a Model of Power,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Yvonne Durham,Jack Hirshleifer,Vernon L. Smith,,,,,,0
34,34,https://www.jstor.org/stable/117015,Gains from Trade and Strategic Interaction: Equilibrium Acid Rain Abatement in the Eastern United States and Canada,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Linda T. M. Bui,,,,,,,,0
35,35,https://www.jstor.org/stable/117016,Voting for Protection: Does Direct Foreign Investment Influence Legislator Behavior?,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Bruce A. Blonigen,David N. Figlio,,,,,,,0
36,36,https://www.jstor.org/stable/117017,Changes in U.S. Tariffs: The Role of Import Prices and Commercial Policies,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Douglas A. Irwin,,,,,,,,0
37,37,https://www.jstor.org/stable/117018,Ex Post Liability for Harm vs. Ex Ante Safety Regulation: Substitutes or Complements? Comment,"Vol. 88, No. 4, Sep., 1998",Vol. 88,No. 4,Sep.,1998,,Christian Ewerhart,Patrick W. Schmitz,,,,,,,0
38,38,https://www.jstor.org/stable/116838,Applications of Option-Pricing Theory: Twenty-Five Years Later,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Robert C. Merton,,,,,,,,0
39,39,https://www.jstor.org/stable/116839,Derivatives in a Dynamic Environment,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Myron S. Scholes,,,,,,,,0
40,40,https://www.jstor.org/stable/116840,Unraveling in Matching Markets,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Hao Li,Sherwin Rosen,,,,,,,0
41,41,https://www.jstor.org/stable/116841,Motivation and Markets,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,W. Bentley MacLeod,James M. Malcomson,,,,,,,0
42,42,https://www.jstor.org/stable/116842,The Economics of Child Labor,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Kaushik Basu,Pham Hoang Van,,,,,,,0
43,43,https://www.jstor.org/stable/116843,A Theory of Holdouts in Wage Bargaining,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Wulong Gu,Peter Kuhn,,,,,,,0
44,44,https://www.jstor.org/stable/116844,Children and Their Parents' Labor Supply: Evidence from Exogenous Variation in Family Size,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Joshua D. Angrist,William N. Evans,,,,,,,0
45,45,https://www.jstor.org/stable/116845,Does European Unemployment Prop up American Wages? National Labor Markets and Global Trade,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Donald R. Davis,,,,,,,,0
46,46,https://www.jstor.org/stable/116846,Growth Cycles,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,George W. Evans,Seppo Honkapohja,Paul Romer,,,,,,0
47,47,https://www.jstor.org/stable/116847,Financial Intermediation and Regime Switching in Business Cycles,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Costas Azariadis,Bruce Smith,,,,,,,0
48,48,https://www.jstor.org/stable/116848,"Stock Markets, Banks, and Economic Growth","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Ross Levine,Sara Zervos,,,,,,,0
49,49,https://www.jstor.org/stable/116849,Financial Dependence and Growth,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Raghuram G. Rajan,Luigi Zingales,,,,,,,0
50,50,https://www.jstor.org/stable/116850,Unique Equilibrium in a Model of Self-Fulfilling Currency Attacks,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Stephen Morris,Hyun Song Shin,,,,,,,0
51,51,https://www.jstor.org/stable/116851,Compensating Differentials for Gender-Specific Job Injury Risks,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Joni Hersch,,,,,,,,0
52,52,https://www.jstor.org/stable/116852,Did Unilateral Divorce Raise Divorce Rates? Evidence from Panel Data,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Leora Friedberg,,,,,,,,0
53,53,https://www.jstor.org/stable/116853,"Divorce-Law Changes, Household Bargaining, and Married Women's Labor Supply","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Jeffrey S. Gray,,,,,,,,0
54,54,https://www.jstor.org/stable/116854,Caps on Political Lobbying,"Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Yeon-Koo Che,Ian L. Gale,,,,,,,0
55,55,https://www.jstor.org/stable/116855,"Is There a Free-Rider Problem in Lobbying? Endogenous Tariffs, Trigger Strategies, and the Number of Firms","Vol. 88, No. 3, Jun., 1998",Vol. 88,No. 3,Jun.,1998,,Paul Pecorino,,,,,,,,0
56,56,https://www.jstor.org/stable/116882,Editors' Introduction,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,J. David Baldwin,Ronald L. Oaxaca,,,,,,,0
57,57,https://www.jstor.org/stable/116883,Foreword,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Robert W. Fogel,,,,,,,,0
58,58,https://www.jstor.org/stable/116884,Turnpikes,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Lionel W. McKenzie,,,,,,,,0
59,59,https://www.jstor.org/stable/116885,"Common Agency Contracting and the Emergence of ""Open Science"" Institutions","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Paul A. David,,,,,,,,0
60,60,https://www.jstor.org/stable/116886,"Revolution from above: The Role of the State in Creating the German Research System, 1810-1910","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Timothy Lenoir,,,,,,,,0
61,61,https://www.jstor.org/stable/116887,"Academic Science and Technology in the Service of Industry: MIT Creates a ""Permeable"" Engineering School","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Christophe Lécuyer,,,,,,,,0
62,62,https://www.jstor.org/stable/116888,Federal Government Initiatives and the Foundations of the Information Technology Revolution: Lessons from History,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Marjory S. Blumenthal,,,,,,,,0
63,63,https://www.jstor.org/stable/116889,"Micro Rules and Macro Outcomes: The Impact of Micro Structure on the Efficiency of Security Exchanges, London, New York, and Paris, 1800-1914","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Lance Davis,Larry Neal,,,,,,,0
64,64,https://www.jstor.org/stable/116890,The Peace Dividend in Historical Perspective,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Hugh Rockoff,,,,,,,,0
65,65,https://www.jstor.org/stable/116891,Wages and Labor Markets before the Civil War,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Robert A. Margo,,,,,,,,0
66,66,https://www.jstor.org/stable/116892,Representative Firm Analysis and the Character of Competition: Glimpses from the Great Depression,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Daniel M. G. Raff,,,,,,,,0
67,67,https://www.jstor.org/stable/116893,"Survival and Size Mobility among the World's Largest 100 Industrial Corporations, 1912-1995","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Leslie Hannah,,,,,,,,0
68,68,https://www.jstor.org/stable/116894,"Partnerships, Corporations, and the Theory of the Firm","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Naomi R. Lamoreaux,,,,,,,,0
69,69,https://www.jstor.org/stable/116895,The New Institutional Economics,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Ronald Coase,,,,,,,,0
70,70,https://www.jstor.org/stable/116896,The Institutions of Governance,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Oliver E. Williamson,,,,,,,,0
71,71,https://www.jstor.org/stable/116897,Historical and Comparative Institutional Analysis,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Avner Greif,,,,,,,,0
72,72,https://www.jstor.org/stable/116898,Norms and Networks in Economic and Organizational Performance,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Victor Nee,,,,,,,,0
73,73,https://www.jstor.org/stable/116899,Technological Change in Heart-Disease Treatment. Does High Tech Mean Low Value?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Mark McClellan,Haruko Noguchi,,,,,,,0
74,74,https://www.jstor.org/stable/116900,The Value of Health: 1970-1990,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,David M. Cutler,Elizabeth Richardson,,,,,,,0
75,75,https://www.jstor.org/stable/116901,Economic Effects of Reducing Disability,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Kenneth G. Manton,Eric Stallard,Larry Corder,,,,,,0
76,76,https://www.jstor.org/stable/116902,Measuring Prices and Quantities of Treatment for Depression,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Richard G. Frank,Susan H. Busch,Ernst R. Berndt,,,,,,0
77,77,https://www.jstor.org/stable/116903,"Public Funds, Private Funds, and Medical Innovation: How Managed Care Affects Public Funds for Clinical Research","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Judith K. Hellerstein,,,,,,,,0
78,78,https://www.jstor.org/stable/116904,The Demand for Medical Care: What People Pay Does Matter,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Matthew J. Eichner,,,,,,,,0
79,79,https://www.jstor.org/stable/116905,Adverse Selection and Adverse Retention,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Daniel Altman,David M. Cutler,Richard J. Zeckhauser,,,,,,0
80,80,https://www.jstor.org/stable/116906,"Payment Heterogeneity, Physician Practice, and Access to Care","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Sherry Glied,,,,,,,,0
81,81,https://www.jstor.org/stable/116907,What Has Increased Medical-Care Spending Bought?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,David M. Cutler,Mark McClellan,Joseph P. Newhouse,,,,,,0
82,82,https://www.jstor.org/stable/116908,Social Security: Privatization and Progressivity,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Laurence J. Kotlikoff,Kent A. Smetters,Jan Walliser,,,,,,0
83,83,https://www.jstor.org/stable/116909,Perspectives on the Social Security Crisis and Proposed Solutions,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Kevin M. Murphy,Finis Welch,,,,,,,0
84,84,https://www.jstor.org/stable/116910,Social Security and the Real Economy: An Inquiry into Some Neglected Issues,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Isaac Ehrlich,Jian-Guo Zhong,,,,,,,0
85,85,https://www.jstor.org/stable/116911,Social Security and Retirement: An International Comparison,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Jonathan Gruber,David Wise,,,,,,,0
86,86,https://www.jstor.org/stable/116912,Social Security and Labor-Force Participation in the Netherlands,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Arie Kapteyn,Klaas de Vos,,,,,,,0
87,87,https://www.jstor.org/stable/116913,Pensions and Labor-Market Participation in the United Kingdom,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Richard Blundell,Paul Johnson,,,,,,,0
88,88,https://www.jstor.org/stable/116914,Social Security and Declining Labor-Force Participation in Germany,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Axel Börsch-Supan,Reinhold Schnabel,,,,,,,0
89,89,https://www.jstor.org/stable/116915,401 (k) Plans and Future Patterns of Retirement Saving,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James M. Poterba,Steven F. Venti,David A. Wise,,,,,,0
90,90,https://www.jstor.org/stable/116916,The Cause of Wealth Dispersion at Retirement: Choice or Chance?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Steven F. Venti,David A. Wise,,,,,,,0
91,91,https://www.jstor.org/stable/116917,Socioeconomic Status and Health,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James P. Smith,,,,,,,,0
92,92,https://www.jstor.org/stable/116918,Extending the Consumption-Tax Treatment of Personal Retirement Saving,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,John B. Shoven,David A. Wise,,,,,,,0
93,93,https://www.jstor.org/stable/116919,Married Women's Retirement Expectations: Do Pensions and Social Security Matter?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Marjorie Honig,,,,,,,,0
94,94,https://www.jstor.org/stable/116920,Gender Differences in the Allocation of Assets in Retirement Savings Plans,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Annika E. Sundén,Brian J. Surette,,,,,,,0
95,95,https://www.jstor.org/stable/116921,How Are Participants Investing Their Accounts in Participant Directed Individual Account Pension Plans?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Leslie E. Papke,,,,,,,,0
96,96,https://www.jstor.org/stable/116922,Aging in the Early 20th Century,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Clayne L. Pope,Larry T. Wimmer,,,,,,,0
97,97,https://www.jstor.org/stable/116923,The Rise of the Welfare State and Labor-Force Participation of Older Males: Evidence from the Pre-Social Security Era,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Chulhee Lee,,,,,,,,0
98,98,https://www.jstor.org/stable/116924,Secular Trends in the Determinants of Disability Benefits,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Sven E. Wilson,Louis L. Nguyen,,,,,,,0
99,99,https://www.jstor.org/stable/116925,The Evolution of Retirement: Summary of a Research Project,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Dora L. Costa,,,,,,,,0
100,100,https://www.jstor.org/stable/116926,Uncertain Demographic Futures and Social Security Finances,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Ronald Lee,Shripad Tuljapurkar,,,,,,,0
101,101,https://www.jstor.org/stable/116927,Demographic Analysis of Aging and Longevity,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James W. Vaupel,,,,,,,,0
102,102,https://www.jstor.org/stable/116928,Aging and Inequality in Income and Health,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Angus S. Deaton,Christina H. Paxson,,,,,,,0
103,103,https://www.jstor.org/stable/116929,Generations and the Distribution of Economic Well-Being: A Cross-National View,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Timothy M. Smeeding,Dennis H. Sullivan,,,,,,,0
104,104,https://www.jstor.org/stable/116930,Relative Cohort Size and Inequality in the United States,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Diane J. Macunovich,,,,,,,,0
105,105,https://www.jstor.org/stable/116931,Intergenerational Transmission of Health,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Dennis Ahlburg,,,,,,,,0
106,106,https://www.jstor.org/stable/116932,"Transfers, Empathy Formation, and Reverse Transfers","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Oded Stark,Ita Falk,,,,,,,0
107,107,https://www.jstor.org/stable/116933,The Prestige Motive for Making Charitable Transfers,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,William T. Harbaugh,,,,,,,,0
108,108,https://www.jstor.org/stable/116934,Tax Policy and Gifts,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Louis Kaplow,,,,,,,,0
109,109,https://www.jstor.org/stable/116935,"Taxes, Uncertainty, and Human Capital","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Kenneth L. Judd,,,,,,,,0
110,110,https://www.jstor.org/stable/116936,Tax Policy and Human-Capital Formation,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James J. Heckman,Lance Lochner,Christopher Taber,,,,,,0
111,111,https://www.jstor.org/stable/116937,Does Government R&D Policy Mainly Benefit Scientists and Engineers?,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Austan Goolsbee,,,,,,,,0
112,112,https://www.jstor.org/stable/116938,The Origins of State-Level Differences in the Public Provision of Higher Education: 1890-1940,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Claudia Goldin,Lawrence F. Katz,,,,,,,0
113,113,https://www.jstor.org/stable/116939,How Much Does School Spending Depend on Family Income? The Historical Origins of the Current School Finance Dilemma,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Caroline M. Hoxby,,,,,,,,0
114,114,https://www.jstor.org/stable/116940,"Demographic Change, Intergenerational Linkages, and Public Education","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James M. Poterba,,,,,,,,0
115,115,https://www.jstor.org/stable/116941,When We Work,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Daniel S. Hamermesh,,,,,,,,0
116,116,https://www.jstor.org/stable/116942,Assortative Mating by Schooling and the Work Behavior of Wives and Husbands,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,John Pencavel,,,,,,,,0
117,117,https://www.jstor.org/stable/116943,The Unequal Work Day: A Long-Term View,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Dora L. Costa,,,,,,,,0
118,118,https://www.jstor.org/stable/116944,Absolute versus Relative Poverty,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James E. Foster,,,,,,,,0
119,119,https://www.jstor.org/stable/116945,"Self-Reliance as a Poverty Criterion: Trends in Earnings-Capacity Poverty, 1975-1992","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Robert Haveman,Andrew Bershadker,,,,,,,0
120,120,https://www.jstor.org/stable/116946,Alternative Historical Trends in Poverty,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,David M. Betson,Jennifer L. Warlick,,,,,,,0
121,121,https://www.jstor.org/stable/116947,Poverty-Measurement Research Using the Consumer Expenditure Survey and the Survey of Income and Program Participation,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Kathleen Short,Martina Shea,David Johnson,Thesia I. Garner,,,,,0
122,122,https://www.jstor.org/stable/116948,Race and Class in Postindustrial Employment,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Gerald D. Jaynes,,,,,,,,0
123,123,https://www.jstor.org/stable/116949,Quit Behavior as a Measure of Worker Opportunity: Black Workers in the Interwar Industrial North,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Warren C. Whatley,Stan Sedo,,,,,,,0
124,124,https://www.jstor.org/stable/116950,"Assessing 50 Years of African-American Economic Status, 1940-1990","Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Marcus Alexis,,,,,,,,0
125,125,https://www.jstor.org/stable/116951,Imagined Risks and Cost-Benefit Analysis,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,Robert A. Pollak,,,,,,,,0
126,126,https://www.jstor.org/stable/116952,General-Equilibrium Treatment Effects: A Study of Tuition Policy,"Vol. 88, No. 2, May, 1998",Vol. 88,No. 2,May,1998,,James J. Heckman,Lance Lochner,Christopher Taber,,,,,,0
